# Tag,Time,Date,Action
1412000238,1436373364,36:03.5,exit
1412000238,1436373364,36:03.6,entry
1412000238,1436373366,36:05.8,exit
2015050202,1436373498,38:17.8,entry
2015050202,1436373499,38:18.7,exit
2015050202,1436373500,38:19.8,entry
2015050202,1436373505,38:25.0,exit
1302000139,1436373682,41:21.6,entry
1302000139,1436373687,41:26.5,exit
1412000238,1436373691,41:30.7,entry
1412000238,1436373692,41:32.0,exit
1412000238,1436373738,42:17.7,entry
1412000238,1436373740,42:20.0,exit
1412000238,1436373758,42:38.3,entry
1412000238,1436373759,42:39.3,exit
1412000238,1436373897,44:56.7,entry
1412000238,1436373899,44:58.8,exit
1412000238,1436373952,45:51.5,entry
1412000238,1436373953,45:53.4,exit
1412000238,1436374197,49:56.7,entry
1412000238,1436374202,50:01.6,exit
1412000238,1436375667,14:27.1,entry
1412000238,1436375672,14:31.6,exit
1302000139,1436376121,22:00.8,entry
1302000139,1436376123,22:02.9,exit
2015050202,1436376303,25:03.2,entry
2015050202,1436376308,25:08.4,exit
1412000238,1436377451,44:10.9,entry
1412000238,1436377453,44:12.5,exit
2015050202,1436378881,08:01.4,entry
2015050202,1436378883,08:02.6,exit
1302000139,1436378884,08:03.6,entry
1302000139,1436378885,08:04.7,exit
1302000139,1436378903,08:22.7,entry
1302000139,1436378904,08:24.0,exit
1302000139,1436379590,19:49.8,entry
1302000139,1436379592,19:52.0,exit
1412000238,1436380178,29:37.9,entry
1412000238,1436380183,29:42.6,exit
2015050202,1436380254,30:54.4,entry
2015050202,1436380255,30:55.4,exit
2015050202,1436380463,34:23.1,entry
2015050202,1436380465,34:24.9,exit
1412000238,1436380479,34:38.8,entry
1412000238,1436380481,34:40.6,exit
1302000139,1436380677,37:56.7,entry
1302000139,1436380682,38:02.0,exit
1412000238,1436380892,41:32.0,entry
1412000238,1436380897,41:37.5,exit
1412000238,1436380927,42:07.3,entry
1412000238,1436380929,42:09.0,exit
1412000238,1436380982,43:02.1,entry
1412000238,1436380987,43:06.7,exit
1412000238,1436381137,45:37.0,entry
1412000238,1436381138,45:38.4,exit
1412000238,1436381139,45:39.1,entry
1412000238,1436381141,45:41.3,exit
1412000238,1436381278,47:58.3,entry
1412000238,1436381280,47:59.8,exit
1412000238,1436381286,48:05.6,entry
1412000238,1436381289,48:09.0,exit
1412000238,1436383260,21:00.5,entry
1412000238,1436383262,21:02.4,exit
1302000139,1436383333,22:13.4,entry
1302000139,1436383335,22:14.6,exit
1412000238,1436383448,24:08.4,entry
1412000238,1436383453,24:13.1,exit
1302000139,1436384050,34:10.0,entry
1302000139,1436384051,34:11.0,exit
2015050202,1436384088,34:47.7,entry
2015050202,1436384089,34:48.6,exit
2015050202,1436384096,34:55.9,entry
2015050202,1436384099,34:59.3,exit
1302000139,1436384518,41:58.4,entry
1302000139,1436384521,42:01.2,exit
1412000238,1436384536,42:15.8,entry
1412000238,1436384540,42:19.8,exit
2015050202,1436385034,50:33.8,entry
2015050202,1436385035,50:34.8,exit
1302000139,1436385089,51:29.5,entry
1302000139,1436385092,51:31.8,exit
2015050202,1436385207,53:27.0,entry
2015050202,1436385208,53:28.5,exit
2015050202,1436385211,53:31.0,entry
2015050202,1436385215,53:34.9,exit
2015050202,1436385263,54:23.5,entry
2015050202,1436385265,54:24.8,exit
1412000238,1436385269,54:29.4,entry
1412000238,1436385272,54:31.6,exit
2015050202,1436385301,55:00.6,entry
2015050202,1436385302,55:01.7,exit
2015050202,1436385869,04:28.7,entry
