Tag,Time,Date,Action,Source
1312000300,1435557489.312603,2015-06-28 22:58:09.312603,reward1,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557494.707549,2015-06-28 22:58:14.707549,reward2,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557500.084503,2015-06-28 22:58:20.084503,reward3,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557505.471806,2015-06-28 22:58:25.471806,reward4,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557510.85714,2015-06-28 22:58:30.857140,reward5,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557510.948591,2015-06-28 22:58:30.948591,complete,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557514,2015-06-28 22:58:34,check+,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557515.282617,2015-06-28 22:58:35.282617,reward0,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557520.635557,2015-06-28 22:58:40.635557,reward1,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557526.025538,2015-06-28 22:58:46.025538,reward2,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557531.39715,2015-06-28 22:58:51.397150,reward3,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557536.796026,2015-06-28 22:58:56.796026,reward4,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557542.167325,2015-06-28 22:59:02.167325,reward5,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557542.271712,2015-06-28 22:59:02.271712,complete,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557546.310106,2015-06-28 22:59:06.310106,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557548.666167,2015-06-28 22:59:08.666167,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557552.96967,2015-06-28 22:59:12.969670,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557553.614761,2015-06-28 22:59:13.614761,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557555.990655,2015-06-28 22:59:15.990655,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
